conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;;;;;;;;;
2015088805418787192,Mon Jan 26 14:08:01 +0000 2026,0,@0tk0il Looh jangan salah kaprah dong justru bergabungnya Indonesia dengan Board of Peace tentu bukan suatu langkah sia sia disitu terdapat strategi sekaligus posisi yang dimana indonesia dapat memberikan kontribusi dalam organisasi tersebut sekaligus menyelamatkan Palestina.,2015788821875740787,,0tk0il,in,,0,0,0,https://x.com/undefined/status/2015788821875740787,2002286505067442176,;;;;;;;;;;
2015788618699456714,Mon Jan 26 14:07:12 +0000 2026,5,ICWA Dorong RI Buka Opsi Tarik Diri dari Board of Peace Bentukan Trump https://t.co/6vb8LpXDLw,2015788618699456714,,,in,,0,1,1,https://x.com/undefined/status/2015788618699456714,990237626,;;;;;;;;;;
2014962597662282125,Mon Jan 26 14:06:58 +0000 2026,0,@MariaAlkaff_ Looh jangan salah kaprah dong justru bergabungnya Indonesia dengan Board of Peace tentu bukan suatu langkah sia sia disitu terdapat strategi sekaligus posisi yang dimana indonesia dapat memberikan kontribusi dalam organisasi tersebut sekaligus menyelamatkan Palestina.,2015788556346933733,,MariaAlkaff_,in,,0,0,0,https://x.com/undefined/status/2015788556346933733,2002286505067442176,;;;;;;;;;;
2014884900843958315,Mon Jan 26 13:59:53 +0000 2026,0,@avredeee tambahan di arab klo lo gk sopan kurang ajar sm pangeran salman dan mempertanyakan knp ikut program board of peace elu auto dipancung! cuma sm prabowo elu bebas b*cot. coba tinggal arab dan korut bakal tinggal nama doang. awwwww,2015786777618108747,,avredeee,in,,0,0,0,https://x.com/undefined/status/2015786777618108747,1119828277323915264,;;;;;;;;;;
2015611022409920570,Mon Jan 26 13:58:02 +0000 2026,0,@imaqueennz Katanya sih gini mbak. https://t.co/6zliqK1UmD,2015786311777673607,,imaqueennz,in,,0,0,0,https://x.com/undefined/status/2015786311777673607,1501588814758027267,;;;;;;;;;;
2015759739293155397,Mon Jan 26 13:53:45 +0000 2026,1,@Anak__Ogi @prabowo @Gerindra NEGARA PALESTINA TIDAK DILIBATKAN SECARA LANGSUNG DALAM BOARD OF PEACE. NGOTAK LAH KAU PENJILAT WOWO https://t.co/NIhUkMmnUs,2015785233669669266,https://pbs.twimg.com/media/G_mB-6ebYAIRlLy.jpg,Anak__Ogi,in,,0,0,0,https://x.com/undefined/status/2015785233669669266,1146778424880406528,;;;;;;;;;;
2015767843053437006,Mon Jan 26 13:50:28 +0000 2026,5,@sanddrrrrw @john20894 @MiskinTV_ ponakan jadi deputi BI board of peace bencana di Jabar?,2015784407865696591,,sanddrrrrw,in,,0,0,0,https://x.com/undefined/status/2015784407865696591,1231835973111054336,;;;;;;;;;;
2015783358018785613,Mon Jan 26 13:46:18 +0000 2026,0,Board of Peace PALE LU BAU MENYAN!!!,2015783358018785613,,,in,,0,0,0,https://x.com/undefined/status/2015783358018785613,41365780,;;;;;;;;;;
2015766579607412759,Mon Jan 26 13:43:22 +0000 2026,80,@dinopattidjalal Dri bergabung'nya Indonesia ke dlm board of peace jelas skli tdk mewakili keinginan seluruh rakyat Indonesia dimana bnyk WNI yg alergi terhadap sepak terjang genosida netanyahu di GAZA tpi publik terperangah oleh presiden RI yg sangat pro dan care bgt kpd Israel ini sgt memuakan.,2015782620563755299,,dinopattidjalal,in,,0,1,9,https://x.com/undefined/status/2015782620563755299,1846749067864625153,;;;;;;;;;;
2013944673065201961,Mon Jan 26 13:36:27 +0000 2026,0,@tempodotco Lha iya duit segitu kan bisa buat iuran board of peace 2 tahun ,2015780878434328920,,tempodotco,in,,0,0,0,https://x.com/undefined/status/2015780878434328920,340179893,;;;;;;;;;;
